,Data,hora,Modalidade,Nipe,Categoria,Time da Casa,Estado de Origem: Time da Casa,resultado final time da casa,X,resultado final visitante,Visitante,Estado de Origem: Time Visitante,Local,Campeonato,Cidade,Estado,total de pontos;
286,05/16/1971,,XV,Masculino,Adulto,Barbarians,,11,X,5,CUSP,,,Campeonato Brasileiro - Série A,,,;
290,05/22/1971,,XV,Masculino,Adulto,Clube Universitário de São Paulo,SP,0,X,11,SPAC,SP,,Campeonato Brasileiro - Série A,,,;
291,05/29/1971,,XV,Masculino,Adulto,Liceu Pasteur C,SP,9,X,6,Brooklin,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
292,05/29/1971,,XV,Masculino,Adulto,Colégio São Bento,SP,16,X,11,St Paul's,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
293,05/29/1971,,XV,Masculino,Adulto,Pasteur,SP,55,X,3,Getúlio Vargas,SP,,Campeonato Brasileiro - Série B,,,;
295,05/30/1971,,XV,Masculino,Adulto,Medicina,SP,3,X,3,Engenharia Mackenzie,,,Campeonato Brasileiro - Série B,,,;
296,05/30/1971,,XV,Masculino,Adulto,SPAC,,6,X,10,Barbarians,,,Campeonato Brasileiro - Série A,,,;
297,06/05/1971,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,14,X,0,Liceu Pasteur,,,Campeonato Brasileiro - Série B,,,;
298,06/05/1971,,XV,Masculino,Adulto,SPAC ‘B’,,8,X,19,Medicina,,,Campeonato Brasileiro - Série B,,,;
299,06/05/1971,,XV,Masculino,Adulto,Getúlio Vargas,,0,X,15,SP RFC,,,Campeonato Brasileiro - Série B,,,;
300,06/06/1971,,XV,Masculino,Adulto,Clube Universitário de São Paulo,SP,5,X,28,Barbarians,SP,,Campeonato Brasileiro - Série A,,,;
301,06/12/1971,,XV,Masculino,Adulto,SPAC ‘B’,,23,X,0,Getúlio Vargas,,,Campeonato Brasileiro - Série B,,,;
302,06/12/1971,,XV,Masculino,Adulto,Pasteur,SP,11,X,16,SP RFC,SP,,Campeonato Brasileiro - Série B,,,;
305,06/13/1971,,XV,Masculino,Adulto,St. Paul’s,SP,16,X,5,Brooklin,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
306,06/19/1971,,XV,Masculino,Adulto,SPAC,,21,X,5,CUSP,,,Campeonato Brasileiro - Série A,,,;
308,06/26/1971,,XV,Masculino,Adulto,SPRFC,,19,X,3,SPAC B,,,Campeonato Brasileiro - Série B,,,;
309,06/26/1971,,XV,Masculino,Adulto,Barbarians,,17,X,8,SPAC,,,Campeonato Brasileiro - Série A,,,;
